"Length [mm]","Freq [GHz]","dB(ActiveS(1:1)) []"
20,4.35,-14.4176935840538
20,4.36,-14.6098616990577
20,4.37,-14.8053564860629
20,4.38,-15.0044178441667
20,4.39,-15.2072357053325
20,4.4,-15.4139424290803
20,4.41,-15.6246052010135
20,4.42,-15.8392178969038
20,4.43,-16.0576919926441
20,4.44,-16.279846204037
20,4.45,-16.5053946290406
20,4.46,-16.7339332520406
20,4.47,-16.9649247744249
20,4.48,-17.1976818797976
20,4.49,-17.4313492473217
20,4.5,-17.6648849133301
20,4.51,-17.8970419660187
20,4.52,-18.1263520484273
20,4.53,-18.3511127314317
20,4.54,-18.5693814620458
20,4.55,-18.7789794095334
20,4.56,-18.9775089811849
20,4.57,-19.1623888569471
20,4.58,-19.3309098467345
20,4.59,-19.4803134597548
20,4.6,-19.6078926421325
20,4.61,-19.711110759383
20,4.62,-19.7877309822909
20,4.63,-19.8359445585885
20,4.64,-19.8544840510663
20,4.65,-19.8427074806497
20,4.66,-19.8006419650259
20,4.67,-19.7289806457315
20,4.68,-19.6290333761755
20,4.69,-19.5026382091387
20,4.7,-19.3520456249968
20,4.71,-19.1797897107522
20,4.72,-18.9885600078472
20,4.73,-18.7810851123536
20,4.74,-18.5600353483493
20,4.75,-18.3279479551773
20,4.76,-18.08717496341
20,4.77,-17.8398516399987
20,4.78,-17.5878820943173
20,4.79,-17.3329381844098
20,4.8,-17.0764679959099
20,4.81,-16.8197106393139
20,4.82,-16.5637147295481
20,4.83,-16.3093585430219
20,4.84,-16.0573704158152
20,4.85,-15.8083484185255
20,4.86,-15.5627787119334
20,4.87,-15.3210522614856
20,4.88,-15.0834797828024
20,4.89,-14.8503049217188
20,4.9,-14.6217157562972
20,4.91,-14.3978547579726
20,4.92,-14.1788273750343
20,4.93,-13.9647094121082
20,4.94,-13.7555533802599
20,4.95,-13.5513939883067
20,4.96,-13.3522529403008
20,4.97,-13.1581431996052
20,4.98,-12.9690728788598
20,4.99,-12.7850489197932
20,5,-12.606080740076
